Track for Fay           2008
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/17/2008 04:36:02     19.487 N     76.386 W
08/17/2008 04:38:02     19.488 N     76.393 W
08/17/2008 04:40:03     19.490 N     76.401 W
08/17/2008 04:42:03     19.491 N     76.409 W
08/17/2008 04:44:03     19.493 N     76.416 W
08/17/2008 04:46:03     19.494 N     76.424 W
08/17/2008 04:48:03     19.495 N     76.432 W
08/17/2008 04:50:03     19.497 N     76.441 W
08/17/2008 04:52:03     19.498 N     76.449 W
08/17/2008 04:54:02     19.499 N     76.458 W
08/17/2008 04:56:02     19.501 N     76.466 W
08/17/2008 04:58:02     19.502 N     76.475 W
08/17/2008 05:00:02     19.503 N     76.484 W
08/17/2008 05:02:02     19.504 N     76.493 W
08/17/2008 05:04:02     19.506 N     76.502 W
08/17/2008 05:06:02     19.507 N     76.512 W
08/17/2008 05:08:02     19.508 N     76.521 W
08/17/2008 05:10:03     19.510 N     76.531 W
08/17/2008 05:12:03     19.511 N     76.540 W
08/17/2008 05:14:03     19.512 N     76.550 W
08/17/2008 05:16:03     19.513 N     76.560 W
08/17/2008 05:18:03     19.515 N     76.570 W
08/17/2008 05:20:03     19.516 N     76.580 W
08/17/2008 05:22:03     19.517 N     76.591 W
08/17/2008 05:24:02     19.518 N     76.601 W
08/17/2008 05:26:02     19.520 N     76.612 W
08/17/2008 05:28:02     19.521 N     76.622 W
08/17/2008 05:30:02     19.522 N     76.633 W
08/17/2008 05:32:02     19.523 N     76.644 W
08/17/2008 05:34:02     19.524 N     76.655 W
08/17/2008 05:36:02     19.526 N     76.666 W
08/17/2008 05:38:02     19.527 N     76.677 W
08/17/2008 05:40:03     19.528 N     76.688 W
08/17/2008 05:42:03     19.529 N     76.700 W
08/17/2008 05:44:03     19.530 N     76.711 W
08/17/2008 05:46:03     19.532 N     76.723 W
08/17/2008 05:48:03     19.533 N     76.735 W
08/17/2008 05:50:03     19.534 N     76.746 W
08/17/2008 05:52:03     19.535 N     76.758 W
08/17/2008 05:54:02     19.536 N     76.770 W
08/17/2008 05:56:02     19.537 N     76.782 W
08/17/2008 05:58:02     19.539 N     76.795 W
08/17/2008 06:00:02     19.540 N     76.807 W
08/17/2008 06:02:02     19.541 N     76.819 W
08/17/2008 06:04:02     19.542 N     76.832 W
08/17/2008 06:06:02     19.543 N     76.844 W
08/17/2008 06:08:02     19.544 N     76.857 W
08/17/2008 06:10:03     19.545 N     76.869 W
08/17/2008 06:12:03     19.546 N     76.882 W
08/17/2008 06:14:03     19.548 N     76.895 W
08/17/2008 06:16:03     19.549 N     76.908 W
08/17/2008 06:16:32     19.549 N     76.911 W
08/17/2008 06:18:32     19.550 N     76.932 W
08/17/2008 06:20:32     19.551 N     76.953 W
08/17/2008 06:22:32     19.552 N     76.973 W
08/17/2008 06:24:32     19.553 N     76.993 W
08/17/2008 06:26:32     19.555 N     77.012 W
08/17/2008 06:28:31     19.556 N     77.032 W
08/17/2008 06:30:31     19.557 N     77.051 W
08/17/2008 06:32:31     19.558 N     77.069 W
08/17/2008 06:34:31     19.559 N     77.088 W
08/17/2008 06:36:31     19.560 N     77.106 W
08/17/2008 06:38:31     19.561 N     77.124 W
08/17/2008 06:40:31     19.562 N     77.141 W
08/17/2008 06:42:31     19.563 N     77.158 W
08/17/2008 06:44:32     19.564 N     77.175 W
08/17/2008 06:46:32     19.566 N     77.192 W
08/17/2008 06:48:32     19.567 N     77.208 W
08/17/2008 06:50:32     19.568 N     77.224 W
08/17/2008 06:52:32     19.569 N     77.240 W
08/17/2008 06:54:32     19.570 N     77.255 W
08/17/2008 06:56:32     19.571 N     77.271 W
08/17/2008 06:58:31     19.572 N     77.286 W
08/17/2008 07:00:31     19.573 N     77.300 W
08/17/2008 07:02:31     19.574 N     77.315 W
08/17/2008 07:04:31     19.575 N     77.329 W
08/17/2008 07:06:31     19.576 N     77.343 W
08/17/2008 07:08:31     19.577 N     77.356 W
08/17/2008 07:10:31     19.578 N     77.370 W
08/17/2008 07:12:31     19.579 N     77.383 W
08/17/2008 07:14:32     19.580 N     77.396 W
08/17/2008 07:16:32     19.581 N     77.408 W
08/17/2008 07:18:32     19.582 N     77.421 W
08/17/2008 07:20:32     19.584 N     77.433 W
08/17/2008 07:22:32     19.585 N     77.445 W
08/17/2008 07:24:32     19.586 N     77.457 W
08/17/2008 07:26:32     19.587 N     77.468 W
08/17/2008 07:28:31     19.588 N     77.480 W
08/17/2008 07:30:31     19.589 N     77.491 W
08/17/2008 07:32:31     19.590 N     77.502 W
08/17/2008 07:34:31     19.591 N     77.512 W
08/17/2008 07:36:31     19.592 N     77.523 W
08/17/2008 07:38:31     19.593 N     77.533 W
08/17/2008 07:40:31     19.594 N     77.543 W
08/17/2008 07:42:31     19.595 N     77.553 W
08/17/2008 07:44:32     19.596 N     77.562 W
08/17/2008 07:46:32     19.597 N     77.572 W
08/17/2008 07:48:32     19.598 N     77.581 W
08/17/2008 07:50:32     19.599 N     77.590 W
08/17/2008 07:52:32     19.600 N     77.599 W
08/17/2008 07:54:32     19.601 N     77.608 W
08/17/2008 07:54:59     19.601 N     77.610 W
08/17/2008 07:56:59     19.602 N     77.616 W
08/17/2008 07:58:59     19.603 N     77.621 W
08/17/2008 08:01:00     19.604 N     77.627 W
08/17/2008 08:03:00     19.605 N     77.633 W
08/17/2008 08:05:00     19.606 N     77.638 W
08/17/2008 08:07:00     19.607 N     77.644 W
08/17/2008 08:09:00     19.608 N     77.650 W
08/17/2008 08:11:00     19.609 N     77.655 W
08/17/2008 08:13:00     19.610 N     77.661 W
08/17/2008 08:15:00     19.611 N     77.667 W
08/17/2008 08:16:59     19.612 N     77.672 W
08/17/2008 08:18:59     19.613 N     77.678 W
08/17/2008 08:20:59     19.614 N     77.683 W
08/17/2008 08:22:59     19.615 N     77.689 W
08/17/2008 08:24:59     19.615 N     77.695 W
08/17/2008 08:26:59     19.616 N     77.700 W
08/17/2008 08:28:59     19.617 N     77.706 W
08/17/2008 08:31:00     19.618 N     77.712 W
08/17/2008 08:33:00     19.619 N     77.717 W
08/17/2008 08:35:00     19.620 N     77.723 W
08/17/2008 08:37:00     19.621 N     77.729 W
08/17/2008 08:39:00     19.622 N     77.734 W
08/17/2008 08:41:00     19.623 N     77.740 W
08/17/2008 08:43:00     19.624 N     77.746 W
08/17/2008 08:45:00     19.625 N     77.751 W
08/17/2008 08:46:59     19.626 N     77.757 W
08/17/2008 08:48:59     19.627 N     77.763 W
08/17/2008 08:50:59     19.628 N     77.768 W
08/17/2008 08:52:59     19.629 N     77.774 W
08/17/2008 08:54:59     19.630 N     77.780 W
08/17/2008 08:56:59     19.631 N     77.785 W
08/17/2008 08:58:59     19.632 N     77.791 W
08/17/2008 09:01:00     19.633 N     77.797 W
08/17/2008 09:03:00     19.634 N     77.802 W
08/17/2008 09:05:00     19.635 N     77.808 W
08/17/2008 09:07:00     19.636 N     77.814 W
08/17/2008 09:09:00     19.637 N     77.819 W
08/17/2008 09:11:00     19.638 N     77.825 W
08/17/2008 09:13:00     19.639 N     77.830 W
08/17/2008 09:15:00     19.640 N     77.836 W
08/17/2008 09:16:59     19.641 N     77.842 W
08/17/2008 09:18:59     19.642 N     77.847 W
08/17/2008 09:20:59     19.642 N     77.853 W
08/17/2008 09:22:59     19.643 N     77.859 W
08/17/2008 09:24:59     19.644 N     77.864 W
08/17/2008 09:26:59     19.645 N     77.870 W
08/17/2008 09:28:59     19.646 N     77.876 W
08/17/2008 09:31:00     19.647 N     77.881 W
08/17/2008 09:33:00     19.648 N     77.887 W
08/17/2008 09:35:00     19.649 N     77.893 W
08/17/2008 09:37:00     19.650 N     77.898 W
08/17/2008 09:38:40     19.651 N     77.903 W
08/17/2008 09:40:40     19.653 N     77.909 W
08/17/2008 09:42:40     19.654 N     77.915 W
08/17/2008 09:44:40     19.656 N     77.921 W
08/17/2008 09:46:40     19.658 N     77.928 W
08/17/2008 09:48:40     19.660 N     77.934 W
08/17/2008 09:50:39     19.662 N     77.940 W
08/17/2008 09:52:39     19.664 N     77.946 W
08/17/2008 09:54:39     19.666 N     77.953 W
08/17/2008 09:56:39     19.668 N     77.959 W
08/17/2008 09:58:39     19.670 N     77.966 W
08/17/2008 10:00:39     19.672 N     77.972 W
08/17/2008 10:02:39     19.675 N     77.978 W
08/17/2008 10:04:39     19.677 N     77.985 W
08/17/2008 10:06:40     19.679 N     77.991 W
08/17/2008 10:08:40     19.682 N     77.998 W
08/17/2008 10:10:40     19.684 N     78.005 W
08/17/2008 10:12:40     19.687 N     78.011 W
08/17/2008 10:14:40     19.689 N     78.018 W
08/17/2008 10:16:40     19.692 N     78.025 W
08/17/2008 10:18:40     19.694 N     78.031 W
08/17/2008 10:20:39     19.697 N     78.038 W
08/17/2008 10:22:39     19.700 N     78.045 W
08/17/2008 10:24:39     19.703 N     78.052 W
08/17/2008 10:26:39     19.706 N     78.059 W
08/17/2008 10:28:39     19.709 N     78.065 W
08/17/2008 10:30:39     19.712 N     78.072 W
08/17/2008 10:32:39     19.715 N     78.079 W
08/17/2008 10:34:39     19.718 N     78.086 W
08/17/2008 10:36:40     19.721 N     78.094 W
08/17/2008 10:38:40     19.724 N     78.101 W
08/17/2008 10:40:40     19.728 N     78.108 W
08/17/2008 10:42:40     19.731 N     78.115 W
08/17/2008 10:44:40     19.735 N     78.122 W
08/17/2008 10:46:40     19.738 N     78.130 W
08/17/2008 10:48:40     19.742 N     78.137 W
08/17/2008 10:50:39     19.746 N     78.144 W
08/17/2008 10:52:39     19.749 N     78.152 W
08/17/2008 10:54:39     19.753 N     78.159 W
08/17/2008 10:56:39     19.757 N     78.167 W
08/17/2008 10:58:39     19.761 N     78.174 W
08/17/2008 11:00:39     19.765 N     78.182 W
08/17/2008 11:02:39     19.769 N     78.189 W
08/17/2008 11:04:39     19.774 N     78.197 W
08/17/2008 11:06:40     19.778 N     78.205 W
08/17/2008 11:08:40     19.782 N     78.213 W
08/17/2008 11:10:40     19.787 N     78.221 W
08/17/2008 11:12:40     19.791 N     78.229 W
08/17/2008 11:14:40     19.796 N     78.236 W
08/17/2008 11:16:40     19.801 N     78.244 W
08/17/2008 11:18:40     19.805 N     78.253 W
08/17/2008 11:20:39     19.810 N     78.261 W
08/17/2008 11:22:39     19.815 N     78.269 W
08/17/2008 11:24:39     19.820 N     78.277 W
08/17/2008 11:26:39     19.825 N     78.285 W
08/17/2008 11:28:39     19.830 N     78.294 W
08/17/2008 11:30:39     19.836 N     78.302 W
08/17/2008 11:32:39     19.841 N     78.310 W
08/17/2008 11:34:39     19.847 N     78.319 W
08/17/2008 11:36:40     19.852 N     78.327 W
08/17/2008 11:38:40     19.858 N     78.336 W
08/17/2008 11:40:40     19.864 N     78.345 W
08/17/2008 11:42:40     19.869 N     78.353 W
08/17/2008 11:44:40     19.875 N     78.362 W
08/17/2008 11:46:40     19.881 N     78.371 W
08/17/2008 11:48:40     19.887 N     78.380 W
08/17/2008 11:50:39     19.894 N     78.389 W
08/17/2008 11:52:39     19.900 N     78.398 W
08/17/2008 11:54:39     19.906 N     78.407 W
08/17/2008 11:56:39     19.913 N     78.416 W
08/17/2008 11:58:39     19.919 N     78.425 W
08/17/2008 12:00:39     19.926 N     78.434 W
08/17/2008 12:02:39     19.932 N     78.444 W
08/17/2008 12:04:39     19.939 N     78.453 W
08/17/2008 12:06:40     19.946 N     78.462 W
08/17/2008 12:08:40     19.953 N     78.471 W
08/17/2008 12:10:40     19.960 N     78.481 W
08/17/2008 12:12:40     19.967 N     78.490 W
08/17/2008 12:14:40     19.974 N     78.500 W
08/17/2008 12:16:40     19.981 N     78.509 W
08/17/2008 12:18:40     19.988 N     78.519 W
08/17/2008 12:20:39     19.995 N     78.528 W
08/17/2008 12:22:39     20.002 N     78.538 W
08/17/2008 12:24:39     20.010 N     78.548 W
08/17/2008 12:26:39     20.017 N     78.557 W
08/17/2008 12:28:39     20.025 N     78.567 W
08/17/2008 12:30:39     20.032 N     78.577 W
08/17/2008 12:32:39     20.040 N     78.587 W
08/17/2008 12:34:39     20.047 N     78.596 W
08/17/2008 12:36:40     20.055 N     78.606 W
08/17/2008 12:38:40     20.063 N     78.616 W
08/17/2008 12:40:40     20.070 N     78.626 W
08/17/2008 12:42:40     20.078 N     78.636 W
08/17/2008 12:44:40     20.086 N     78.646 W
08/17/2008 12:46:40     20.094 N     78.656 W
08/17/2008 12:48:40     20.102 N     78.666 W
08/17/2008 12:50:39     20.110 N     78.676 W
08/17/2008 12:52:39     20.118 N     78.686 W
08/17/2008 12:54:39     20.126 N     78.696 W
08/17/2008 12:56:39     20.134 N     78.706 W
08/17/2008 12:58:39     20.142 N     78.716 W
08/17/2008 13:00:39     20.150 N     78.726 W
08/17/2008 13:02:39     20.158 N     78.736 W
08/17/2008 13:04:39     20.166 N     78.746 W
08/17/2008 13:06:40     20.174 N     78.756 W
08/17/2008 13:08:40     20.183 N     78.766 W
08/17/2008 13:10:40     20.191 N     78.776 W
08/17/2008 13:12:40     20.199 N     78.786 W
08/17/2008 13:14:40     20.207 N     78.796 W
08/17/2008 13:16:40     20.215 N     78.806 W
08/17/2008 13:18:40     20.224 N     78.816 W
08/17/2008 13:20:39     20.232 N     78.826 W
08/17/2008 13:22:39     20.240 N     78.836 W
08/17/2008 13:24:39     20.248 N     78.846 W
08/17/2008 13:26:39     20.257 N     78.856 W
08/17/2008 13:28:39     20.265 N     78.866 W
08/17/2008 13:30:39     20.273 N     78.877 W
08/17/2008 13:32:39     20.281 N     78.887 W
08/17/2008 13:34:39     20.290 N     78.897 W
08/17/2008 13:36:40     20.298 N     78.907 W
08/17/2008 13:38:40     20.306 N     78.917 W
08/17/2008 13:40:40     20.315 N     78.927 W
08/17/2008 13:42:40     20.323 N     78.937 W
08/17/2008 13:44:40     20.331 N     78.947 W
08/17/2008 13:46:40     20.339 N     78.957 W
08/17/2008 13:48:40     20.347 N     78.966 W
08/17/2008 13:50:39     20.356 N     78.976 W
08/17/2008 13:52:39     20.364 N     78.986 W
08/17/2008 13:54:39     20.372 N     78.996 W
08/17/2008 13:56:39     20.380 N     79.006 W
08/17/2008 13:58:39     20.388 N     79.016 W
08/17/2008 14:00:39     20.396 N     79.026 W
08/17/2008 14:02:39     20.404 N     79.035 W
08/17/2008 14:04:39     20.412 N     79.045 W
08/17/2008 14:06:40     20.420 N     79.055 W
08/17/2008 14:08:40     20.428 N     79.065 W
08/17/2008 14:10:40     20.436 N     79.074 W
08/17/2008 14:12:40     20.444 N     79.084 W
08/17/2008 14:14:40     20.452 N     79.093 W
08/17/2008 14:16:40     20.460 N     79.103 W
08/17/2008 14:18:40     20.468 N     79.112 W
08/17/2008 14:20:39     20.476 N     79.122 W
08/17/2008 14:22:39     20.483 N     79.131 W
08/17/2008 14:24:39     20.491 N     79.141 W
08/17/2008 14:26:39     20.499 N     79.150 W
08/17/2008 14:28:39     20.506 N     79.159 W
08/17/2008 14:30:39     20.514 N     79.169 W
08/17/2008 14:32:39     20.521 N     79.178 W
08/17/2008 14:34:39     20.529 N     79.187 W
08/17/2008 14:36:40     20.536 N     79.196 W
08/17/2008 14:38:40     20.543 N     79.205 W
08/17/2008 14:40:40     20.550 N     79.214 W
08/17/2008 14:42:40     20.558 N     79.223 W
08/17/2008 14:44:40     20.565 N     79.232 W
08/17/2008 14:46:40     20.572 N     79.241 W
08/17/2008 14:48:40     20.579 N     79.250 W
08/17/2008 14:50:39     20.586 N     79.259 W
08/17/2008 14:52:39     20.593 N     79.268 W
08/17/2008 14:54:39     20.600 N     79.276 W
08/17/2008 14:56:39     20.606 N     79.285 W
08/17/2008 14:58:39     20.613 N     79.293 W
08/17/2008 15:00:39     20.620 N     79.302 W
08/17/2008 15:02:39     20.626 N     79.310 W
08/17/2008 15:04:39     20.632 N     79.319 W
08/17/2008 15:06:40     20.639 N     79.327 W
08/17/2008 15:08:40     20.645 N     79.335 W
08/17/2008 15:10:40     20.651 N     79.343 W
08/17/2008 15:12:40     20.657 N     79.351 W
08/17/2008 15:14:40     20.663 N     79.359 W
08/17/2008 15:16:40     20.669 N     79.367 W
08/17/2008 15:18:40     20.675 N     79.375 W
08/17/2008 15:20:39     20.681 N     79.383 W
08/17/2008 15:22:39     20.687 N     79.391 W
08/17/2008 15:24:39     20.692 N     79.398 W
08/17/2008 15:26:39     20.698 N     79.406 W
08/17/2008 15:28:39     20.703 N     79.414 W
08/17/2008 15:30:39     20.708 N     79.421 W
08/17/2008 15:32:39     20.713 N     79.428 W
08/17/2008 15:34:39     20.719 N     79.436 W
08/17/2008 15:36:40     20.724 N     79.443 W
08/17/2008 15:38:40     20.728 N     79.450 W
08/17/2008 15:40:40     20.733 N     79.457 W
08/17/2008 15:42:40     20.738 N     79.464 W
08/17/2008 15:44:40     20.743 N     79.471 W
08/17/2008 15:46:40     20.747 N     79.478 W
08/17/2008 15:48:40     20.752 N     79.484 W
08/17/2008 15:50:39     20.756 N     79.491 W
08/17/2008 15:52:39     20.760 N     79.498 W
08/17/2008 15:54:39     20.764 N     79.504 W
08/17/2008 15:56:39     20.769 N     79.511 W
08/17/2008 15:58:39     20.773 N     79.517 W
08/17/2008 16:00:39     20.777 N     79.524 W
08/17/2008 16:02:39     20.780 N     79.530 W
08/17/2008 16:04:39     20.784 N     79.536 W
08/17/2008 16:06:40     20.788 N     79.542 W
08/17/2008 16:08:40     20.791 N     79.548 W
08/17/2008 16:10:40     20.795 N     79.554 W
08/17/2008 16:12:40     20.798 N     79.560 W
08/17/2008 16:14:40     20.802 N     79.566 W
08/17/2008 16:16:40     20.805 N     79.572 W
08/17/2008 16:18:40     20.808 N     79.578 W
08/17/2008 16:20:39     20.812 N     79.584 W
08/17/2008 16:22:39     20.815 N     79.589 W
08/17/2008 16:24:39     20.818 N     79.595 W
08/17/2008 16:26:39     20.821 N     79.601 W
08/17/2008 16:28:39     20.823 N     79.606 W
08/17/2008 16:30:39     20.826 N     79.611 W
08/17/2008 16:32:39     20.829 N     79.617 W
08/17/2008 16:34:39     20.832 N     79.622 W
08/17/2008 16:36:40     20.834 N     79.627 W
08/17/2008 16:38:40     20.837 N     79.633 W
08/17/2008 16:40:40     20.839 N     79.638 W
08/17/2008 16:42:40     20.842 N     79.643 W
08/17/2008 16:44:40     20.844 N     79.648 W
08/17/2008 16:46:40     20.846 N     79.653 W
08/17/2008 16:48:40     20.849 N     79.658 W
08/17/2008 16:50:39     20.851 N     79.663 W
08/17/2008 16:52:39     20.853 N     79.668 W
08/17/2008 16:54:39     20.855 N     79.673 W
08/17/2008 16:56:39     20.857 N     79.678 W
08/17/2008 16:58:39     20.859 N     79.682 W
08/17/2008 17:00:39     20.861 N     79.687 W
08/17/2008 17:02:39     20.862 N     79.692 W
08/17/2008 17:04:39     20.864 N     79.696 W
08/17/2008 17:06:40     20.866 N     79.701 W
08/17/2008 17:08:40     20.867 N     79.705 W
08/17/2008 17:10:40     20.869 N     79.710 W
08/17/2008 17:12:40     20.871 N     79.714 W
08/17/2008 17:14:40     20.872 N     79.719 W
08/17/2008 17:16:40     20.873 N     79.723 W
08/17/2008 17:18:40     20.875 N     79.727 W
08/17/2008 17:20:39     20.876 N     79.732 W
08/17/2008 17:22:39     20.877 N     79.736 W
08/17/2008 17:24:39     20.879 N     79.740 W
08/17/2008 17:26:39     20.880 N     79.744 W
08/17/2008 17:28:39     20.881 N     79.748 W
08/17/2008 17:30:39     20.882 N     79.752 W
08/17/2008 17:32:39     20.883 N     79.756 W
08/17/2008 17:34:39     20.884 N     79.760 W
08/17/2008 17:36:40     20.885 N     79.764 W
08/17/2008 17:38:28     20.886 N     79.768 W
08/17/2008 17:40:28     20.887 N     79.772 W
08/17/2008 17:42:28     20.888 N     79.776 W
08/17/2008 17:44:28     20.889 N     79.780 W
08/17/2008 17:46:28     20.890 N     79.784 W
08/17/2008 17:48:28     20.891 N     79.788 W
08/17/2008 17:50:29     20.892 N     79.792 W
08/17/2008 17:52:29     20.893 N     79.796 W
08/17/2008 17:54:29     20.894 N     79.799 W
08/17/2008 17:56:29     20.895 N     79.803 W
08/17/2008 17:58:29     20.895 N     79.807 W
08/17/2008 18:00:29     20.896 N     79.811 W
08/17/2008 18:02:29     20.897 N     79.814 W
08/17/2008 18:04:29     20.897 N     79.818 W
08/17/2008 18:06:28     20.898 N     79.822 W
08/17/2008 18:08:28     20.899 N     79.825 W
08/17/2008 18:10:28     20.899 N     79.829 W
08/17/2008 18:12:28     20.900 N     79.833 W
08/17/2008 18:14:28     20.900 N     79.836 W
08/17/2008 18:16:28     20.901 N     79.840 W
08/17/2008 18:18:28     20.901 N     79.843 W
08/17/2008 18:20:29     20.901 N     79.847 W
08/17/2008 18:22:29     20.902 N     79.850 W
08/17/2008 18:24:29     20.902 N     79.854 W
08/17/2008 18:26:29     20.902 N     79.857 W
08/17/2008 18:28:29     20.902 N     79.860 W
08/17/2008 18:30:29     20.903 N     79.864 W
08/17/2008 18:32:29     20.903 N     79.867 W
08/17/2008 18:34:29     20.903 N     79.870 W
08/17/2008 18:36:28     20.903 N     79.874 W
08/17/2008 18:38:28     20.903 N     79.877 W
08/17/2008 18:40:28     20.903 N     79.880 W
08/17/2008 18:42:28     20.903 N     79.884 W
08/17/2008 18:44:28     20.903 N     79.887 W
08/17/2008 18:46:28     20.903 N     79.890 W
08/17/2008 18:48:28     20.903 N     79.893 W
08/17/2008 18:50:29     20.903 N     79.896 W
08/17/2008 18:52:29     20.903 N     79.899 W
08/17/2008 18:54:29     20.902 N     79.903 W
08/17/2008 18:56:29     20.902 N     79.906 W
08/17/2008 18:58:29     20.902 N     79.909 W
08/17/2008 19:00:29     20.902 N     79.912 W
08/17/2008 19:02:29     20.902 N     79.915 W
08/17/2008 19:04:29     20.901 N     79.918 W
08/17/2008 19:06:28     20.901 N     79.921 W
08/17/2008 19:08:28     20.901 N     79.924 W
08/17/2008 19:10:28     20.900 N     79.927 W
08/17/2008 19:11:12     20.900 N     79.928 W
08/17/2008 19:13:12     20.900 N     79.931 W
08/17/2008 19:15:12     20.899 N     79.935 W
08/17/2008 19:17:12     20.898 N     79.938 W
08/17/2008 19:19:11     20.898 N     79.942 W
08/17/2008 19:21:11     20.897 N     79.945 W
08/17/2008 19:23:11     20.896 N     79.949 W
08/17/2008 19:25:11     20.895 N     79.952 W
08/17/2008 19:27:11     20.895 N     79.956 W
08/17/2008 19:29:11     20.894 N     79.959 W
08/17/2008 19:31:11     20.893 N     79.963 W
08/17/2008 19:33:12     20.892 N     79.966 W
08/17/2008 19:35:12     20.891 N     79.970 W
08/17/2008 19:37:12     20.889 N     79.973 W
08/17/2008 19:39:12     20.888 N     79.976 W
08/17/2008 19:41:12     20.887 N     79.980 W
08/17/2008 19:43:12     20.886 N     79.983 W
08/17/2008 19:45:12     20.884 N     79.987 W
08/17/2008 19:47:12     20.883 N     79.990 W
08/17/2008 19:49:11     20.882 N     79.994 W
08/17/2008 19:51:11     20.880 N     79.997 W
08/17/2008 19:53:11     20.879 N     80.000 W
08/17/2008 19:55:11     20.877 N     80.004 W
08/17/2008 19:57:11     20.876 N     80.007 W
08/17/2008 19:59:11     20.875 N     80.010 W
08/17/2008 20:01:11     20.873 N     80.013 W
08/17/2008 20:03:12     20.871 N     80.017 W
08/17/2008 20:05:12     20.870 N     80.020 W
08/17/2008 20:07:12     20.868 N     80.023 W
08/17/2008 20:09:12     20.867 N     80.026 W
08/17/2008 20:11:12     20.865 N     80.029 W
08/17/2008 20:13:12     20.864 N     80.032 W
08/17/2008 20:15:12     20.862 N     80.035 W
08/17/2008 20:17:12     20.861 N     80.038 W
08/17/2008 20:19:11     20.859 N     80.041 W
08/17/2008 20:21:11     20.858 N     80.044 W
08/17/2008 20:23:11     20.856 N     80.047 W
08/17/2008 20:25:11     20.855 N     80.050 W
08/17/2008 20:27:11     20.853 N     80.052 W
08/17/2008 20:29:11     20.852 N     80.055 W
08/17/2008 20:31:11     20.851 N     80.058 W
08/17/2008 20:33:12     20.849 N     80.060 W
08/17/2008 20:35:12     20.848 N     80.063 W
08/17/2008 20:37:12     20.847 N     80.065 W
08/17/2008 20:39:12     20.846 N     80.068 W
08/17/2008 20:41:12     20.844 N     80.070 W
08/17/2008 20:43:12     20.843 N     80.072 W
08/17/2008 20:45:12     20.842 N     80.074 W
08/17/2008 20:47:12     20.841 N     80.077 W
08/17/2008 20:49:11     20.840 N     80.079 W
08/17/2008 20:51:11     20.839 N     80.081 W
08/17/2008 20:53:11     20.838 N     80.083 W
08/17/2008 20:55:11     20.837 N     80.084 W
08/17/2008 20:57:11     20.837 N     80.086 W
08/17/2008 20:59:11     20.836 N     80.088 W
08/17/2008 21:01:11     20.835 N     80.090 W
08/17/2008 21:03:12     20.835 N     80.091 W
08/17/2008 21:05:12     20.834 N     80.092 W
08/17/2008 21:07:12     20.834 N     80.094 W
08/17/2008 21:09:12     20.834 N     80.095 W
08/17/2008 21:11:12     20.834 N     80.096 W
08/17/2008 21:13:12     20.833 N     80.097 W
08/17/2008 21:15:12     20.833 N     80.098 W
08/17/2008 21:17:12     20.833 N     80.099 W
08/17/2008 21:19:11     20.834 N     80.100 W
08/17/2008 21:21:11     20.834 N     80.101 W
08/17/2008 21:23:11     20.834 N     80.101 W
08/17/2008 21:25:11     20.835 N     80.102 W
08/17/2008 21:26:02     20.835 N     80.102 W
08/17/2008 21:28:02     20.835 N     80.103 W
08/17/2008 21:30:02     20.836 N     80.104 W
08/17/2008 21:32:02     20.836 N     80.105 W
08/17/2008 21:34:02     20.837 N     80.106 W
08/17/2008 21:36:02     20.837 N     80.106 W
08/17/2008 21:38:02     20.838 N     80.107 W
08/17/2008 21:40:03     20.839 N     80.108 W
08/17/2008 21:42:03     20.839 N     80.108 W
08/17/2008 21:44:03     20.840 N     80.108 W
08/17/2008 21:46:03     20.841 N     80.109 W
08/17/2008 21:48:03     20.842 N     80.109 W
08/17/2008 21:50:03     20.843 N     80.109 W
08/17/2008 21:52:03     20.844 N     80.109 W
08/17/2008 21:54:02     20.845 N     80.109 W
08/17/2008 21:56:02     20.847 N     80.109 W
08/17/2008 21:58:02     20.848 N     80.109 W
08/17/2008 22:00:02     20.849 N     80.109 W
08/17/2008 22:02:02     20.851 N     80.109 W
08/17/2008 22:04:02     20.852 N     80.108 W
08/17/2008 22:06:02     20.854 N     80.108 W
08/17/2008 22:08:02     20.855 N     80.107 W
08/17/2008 22:10:03     20.857 N     80.106 W
08/17/2008 22:12:03     20.859 N     80.106 W
08/17/2008 22:14:03     20.861 N     80.105 W
08/17/2008 22:16:03     20.863 N     80.104 W
08/17/2008 22:18:03     20.865 N     80.103 W
08/17/2008 22:20:03     20.867 N     80.102 W
08/17/2008 22:22:03     20.869 N     80.101 W
08/17/2008 22:24:02     20.871 N     80.099 W
08/17/2008 22:26:02     20.874 N     80.098 W
08/17/2008 22:28:02     20.876 N     80.096 W
08/17/2008 22:30:02     20.879 N     80.095 W
08/17/2008 22:32:02     20.881 N     80.093 W
08/17/2008 22:34:02     20.884 N     80.091 W
08/17/2008 22:36:02     20.887 N     80.089 W
08/17/2008 22:38:02     20.890 N     80.087 W
08/17/2008 22:40:03     20.893 N     80.085 W
08/17/2008 22:42:03     20.896 N     80.083 W
08/17/2008 22:44:03     20.899 N     80.080 W
08/17/2008 22:46:03     20.902 N     80.078 W
08/17/2008 22:48:03     20.905 N     80.075 W
08/17/2008 22:50:03     20.909 N     80.073 W
08/17/2008 22:52:03     20.912 N     80.070 W
08/17/2008 22:54:02     20.916 N     80.067 W
08/17/2008 22:56:02     20.919 N     80.064 W
08/17/2008 22:58:02     20.923 N     80.061 W
08/17/2008 23:00:02     20.927 N     80.058 W
08/17/2008 23:02:02     20.931 N     80.054 W
08/17/2008 23:04:02     20.935 N     80.051 W
