Track for Fay           2008
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/14/2008 19:55:59     17.895 N     63.953 W
08/14/2008 19:58:00     17.893 N     63.955 W
08/14/2008 20:00:00     17.891 N     63.958 W
08/14/2008 20:01:59     17.890 N     63.960 W
08/14/2008 20:04:00     17.888 N     63.962 W
08/14/2008 20:06:00     17.886 N     63.964 W
08/14/2008 20:07:59     17.885 N     63.967 W
08/14/2008 20:09:59     17.883 N     63.969 W
08/14/2008 20:12:00     17.881 N     63.971 W
08/14/2008 20:14:00     17.879 N     63.974 W
08/14/2008 20:15:59     17.878 N     63.976 W
08/14/2008 20:17:59     17.876 N     63.979 W
08/14/2008 20:20:00     17.874 N     63.981 W
08/14/2008 20:22:00     17.872 N     63.984 W
08/14/2008 20:23:59     17.870 N     63.986 W
08/14/2008 20:25:59     17.868 N     63.989 W
08/14/2008 20:28:00     17.866 N     63.991 W
08/14/2008 20:30:00     17.864 N     63.994 W
08/14/2008 20:31:59     17.863 N     63.996 W
08/14/2008 20:34:00     17.861 N     63.999 W
08/14/2008 20:36:00     17.859 N     64.002 W
08/14/2008 20:37:59     17.856 N     64.004 W
08/14/2008 20:39:59     17.854 N     64.007 W
08/14/2008 20:42:00     17.852 N     64.010 W
08/14/2008 20:44:00     17.850 N     64.013 W
08/14/2008 20:45:59     17.848 N     64.015 W
08/14/2008 20:47:59     17.846 N     64.018 W
08/14/2008 20:50:00     17.844 N     64.021 W
08/14/2008 20:52:00     17.842 N     64.024 W
08/14/2008 20:53:59     17.840 N     64.027 W
08/14/2008 20:55:59     17.837 N     64.030 W
08/14/2008 20:58:00     17.835 N     64.033 W
08/14/2008 21:00:00     17.833 N     64.036 W
08/14/2008 21:01:59     17.830 N     64.039 W
08/14/2008 21:04:00     17.828 N     64.042 W
08/14/2008 21:06:00     17.826 N     64.045 W
08/14/2008 21:07:59     17.823 N     64.048 W
08/14/2008 21:09:59     17.821 N     64.051 W
08/14/2008 21:12:00     17.819 N     64.055 W
08/14/2008 21:14:00     17.816 N     64.058 W
08/14/2008 21:14:09     17.816 N     64.058 W
08/14/2008 21:16:09     17.814 N     64.061 W
08/14/2008 21:18:10     17.812 N     64.064 W
08/14/2008 21:20:09     17.811 N     64.067 W
08/14/2008 21:22:09     17.809 N     64.069 W
08/14/2008 21:24:10     17.807 N     64.072 W
08/14/2008 21:26:10     17.806 N     64.075 W
08/14/2008 21:28:09     17.804 N     64.078 W
08/14/2008 21:30:09     17.802 N     64.081 W
08/14/2008 21:32:10     17.801 N     64.084 W
08/14/2008 21:34:10     17.799 N     64.087 W
08/14/2008 21:36:09     17.798 N     64.090 W
08/14/2008 21:38:09     17.796 N     64.093 W
08/14/2008 21:40:10     17.795 N     64.096 W
08/14/2008 21:42:10     17.794 N     64.099 W
08/14/2008 21:44:09     17.792 N     64.101 W
08/14/2008 21:46:09     17.791 N     64.104 W
08/14/2008 21:48:10     17.790 N     64.107 W
08/14/2008 21:50:09     17.789 N     64.110 W
08/14/2008 21:52:09     17.787 N     64.113 W
08/14/2008 21:54:10     17.786 N     64.116 W
08/14/2008 21:56:10     17.785 N     64.119 W
08/14/2008 21:58:09     17.784 N     64.122 W
08/14/2008 22:00:09     17.783 N     64.125 W
08/14/2008 22:02:10     17.782 N     64.128 W
08/14/2008 22:04:10     17.782 N     64.131 W
08/14/2008 22:06:09     17.781 N     64.135 W
08/14/2008 22:08:09     17.780 N     64.138 W
08/14/2008 22:10:10     17.779 N     64.141 W
08/14/2008 22:12:10     17.779 N     64.144 W
08/14/2008 22:14:09     17.778 N     64.147 W
08/14/2008 22:16:09     17.777 N     64.150 W
08/14/2008 22:18:10     17.777 N     64.153 W
08/14/2008 22:20:09     17.777 N     64.156 W
08/14/2008 22:22:09     17.776 N     64.159 W
08/14/2008 22:24:10     17.776 N     64.162 W
08/14/2008 22:26:10     17.776 N     64.166 W
08/14/2008 22:28:09     17.775 N     64.169 W
08/14/2008 22:30:09     17.775 N     64.172 W
08/14/2008 22:32:10     17.775 N     64.175 W
08/14/2008 22:34:10     17.775 N     64.178 W
08/14/2008 22:36:09     17.775 N     64.182 W
08/14/2008 22:38:09     17.775 N     64.185 W
08/14/2008 22:40:10     17.776 N     64.188 W
08/14/2008 22:42:10     17.776 N     64.191 W
08/14/2008 22:44:09     17.776 N     64.195 W
08/14/2008 22:46:09     17.776 N     64.198 W
08/14/2008 22:48:10     17.777 N     64.201 W
08/14/2008 22:50:09     17.777 N     64.205 W
08/14/2008 22:52:09     17.778 N     64.208 W
08/14/2008 22:54:10     17.779 N     64.211 W
08/14/2008 22:56:10     17.780 N     64.215 W
08/14/2008 22:58:09     17.780 N     64.218 W
08/14/2008 23:00:09     17.781 N     64.221 W
08/14/2008 23:02:10     17.782 N     64.225 W
08/14/2008 23:04:10     17.783 N     64.228 W
08/14/2008 23:06:09     17.784 N     64.232 W
08/14/2008 23:08:09     17.786 N     64.235 W
08/14/2008 23:10:10     17.787 N     64.239 W
08/14/2008 23:12:10     17.788 N     64.242 W
08/14/2008 23:14:09     17.790 N     64.246 W
08/14/2008 23:16:09     17.791 N     64.249 W
08/14/2008 23:18:10     17.793 N     64.253 W
08/14/2008 23:20:09     17.795 N     64.256 W
08/14/2008 23:22:09     17.796 N     64.260 W
08/14/2008 23:24:10     17.798 N     64.263 W
08/14/2008 23:26:10     17.800 N     64.267 W
08/14/2008 23:28:09     17.802 N     64.271 W
08/14/2008 23:30:09     17.804 N     64.274 W
08/14/2008 23:32:10     17.807 N     64.278 W
08/14/2008 23:34:10     17.809 N     64.282 W
08/14/2008 23:36:09     17.811 N     64.285 W
